language,testcase,passed,duration,cost,prompt_tokens,completion_tokens,syntax_errors,num_malformed_responses
python,pov,False,272.24838852882385,0.0,6402,1493,0,0
python,two-bucket,False,262.06563925743103,0.0,7084,1535,0,0
python,book-store,False,429.7616696357727,0.0,11022,2322,0,0
python,variable-length-quantity,False,237.49006032943726,0.0,7182,876,0,0
python,beer-song,True,114.97156071662903,0.0,4131,220,0,0
python,proverb,False,298.37656593322754,0.0,3916,487,0,0
python,poker,False,228.85170149803162,0.0,8373,1073,0,0
python,affine-cipher,True,196.32626843452454,0.0,1809,639,0,0
python,phone-number,False,189.71788787841797,0.0,5990,600,0,0
python,dot-dsl,False,242.35172700881958,0.0,6438,1063,0,0
python,bowling,False,423.0239028930664,0.0,14971,1817,0,0
python,tree-building,True,218.96818780899048,0.0,5158,1092,0,0
python,list-ops,False,197.7959110736847,0.0,3033,1159,0,0
python,hangman,False,207.50986981391907,0.0,3992,1066,0,0
python,transpose,False,95.83623242378235,0.0,3200,226,0,0
python,sgf-parsing,False,519.953777551651,0.0,14612,1962,0,0
python,go-counting,False,361.80865263938904,0.0,4374,1498,0,0
python,dominoes,True,184.72645616531372,0.0,4797,984,0,0
python,scale-generator,False,391.2093737125397,0.0,8565,1123,0,0
python,zipper,False,347.8001446723938,0.0,5406,1184,0,0
python,grep,False,279.8577244281769,0.0,10315,865,0,0
python,pig-latin,True,175.1394019126892,0.0,3695,524,0,0
python,paasio,False,344.6637439727783,0.0,13905,1154,0,0
python,wordy,False,226.34033465385437,0.0,6931,1086,0,0
python,bottle-song,False,162.83444666862488,0.0,5271,852,0,0
python,robot-name,False,137.04652380943298,0.0,2472,550,0,0
python,grade-school,False,111.07550644874573,0.0,4274,704,0,0
python,connect,False,242.04050827026367,0.0,4196,1703,0,0
python,forth,False,404.16808819770813,0.0,16048,1559,0,0
python,react,False,178.18515849113464,0.0,4537,909,0,0
python,rest-api,False,171.6200132369995,0.0,5304,1232,0,0
python,zebra-puzzle,False,226.38710188865662,0.0,4426,1188,0,0
python,simple-linked-list,True,235.039972782135,0.0,7435,1174,0,0
python,food-chain,False,227.45153737068176,0.0,6705,982,0,0
