language,testcase,passed,duration,cost,prompt_tokens,completion_tokens,syntax_errors,num_malformed_responses
python,pov,False,260.854261636734,0.0,6402,1493,0,0
python,two-bucket,False,282.254967212677,0.0,7084,1535,0,0
python,book-store,False,447.844290971756,0.0,11022,2409,0,0
python,variable-length-quantity,False,269.804682970047,0.0,7182,876,0,0
python,beer-song,True,125.24400806427002,0.0,4131,220,0,0
python,proverb,False,117.93101835250854,0.0,3916,487,0,0
python,poker,False,226.6981270313263,0.0,8369,1072,0,0
python,affine-cipher,True,119.83164858818054,0.0,1809,639,0,0
python,phone-number,False,165.06936311721802,0.0,5990,600,0,0
python,dot-dsl,False,206.58846855163574,0.0,6436,1063,0,0
python,bowling,False,450.2592685222626,0.0,14968,1822,0,0
python,tree-building,True,322.24657702445984,0.0,5158,1092,0,0
python,list-ops,False,177.75159525871277,0.0,3033,1159,0,0
python,hangman,False,184.3428099155426,0.0,3991,1066,0,0
python,transpose,False,105.52261114120483,0.0,3200,226,0,0
python,sgf-parsing,False,448.48498606681824,0.0,14612,1962,0,0
python,go-counting,False,362.5970470905304,0.0,4374,1498,0,0
python,dominoes,True,162.62200331687927,0.0,4797,984,0,0
python,scale-generator,False,259.94999980926514,0.0,8567,1123,0,0
python,zipper,False,335.65061497688293,0.0,5406,1184,0,0
python,grep,False,254.91863870620728,0.0,10315,865,0,0
python,pig-latin,True,100.29329013824463,0.0,3695,524,0,0
python,paasio,False,320.48121333122253,0.0,13903,1154,0,0
python,wordy,False,166.91313004493713,0.0,6931,1086,0,0
python,bottle-song,False,201.68687963485718,0.0,5271,852,0,0
python,robot-name,False,125.8312418460846,0.0,2472,550,0,0
python,grade-school,False,132.61325001716614,0.0,4274,666,0,0
python,connect,False,290.1873342990875,0.0,4196,1703,0,0
python,forth,False,354.8578028678894,0.0,16048,1559,0,0
python,react,False,193.58603262901306,0.0,4536,909,0,0
python,rest-api,False,498.5864601135254,0.0,5304,1232,0,0
python,zebra-puzzle,False,192.77965712547302,0.0,4426,1188,0,0
python,simple-linked-list,True,272.05023527145386,0.0,7435,1174,0,0
python,food-chain,False,152.68522763252258,0.0,6705,982,0,0
